Start,Finish,Heart Rate (count/min)
05-Oct-2017 16:38,05-Oct-2017 16:38,82.0
05-Oct-2017 16:44,05-Oct-2017 16:44,89.0
05-Oct-2017 16:49,05-Oct-2017 16:49,90.0
05-Oct-2017 16:58,05-Oct-2017 16:58,81.0
05-Oct-2017 17:03,05-Oct-2017 17:03,81.0
05-Oct-2017 17:10,05-Oct-2017 17:10,81.0
05-Oct-2017 17:20,05-Oct-2017 17:20,88.0
05-Oct-2017 17:25,05-Oct-2017 17:25,82.0
05-Oct-2017 17:29,05-Oct-2017 17:29,79.0
05-Oct-2017 17:33,05-Oct-2017 17:33,81.0
05-Oct-2017 17:43,05-Oct-2017 17:43,78.0
05-Oct-2017 17:45,05-Oct-2017 17:45,80.0
05-Oct-2017 17:50,05-Oct-2017 17:50,86.0
05-Oct-2017 17:52,05-Oct-2017 17:52,79.0
05-Oct-2017 17:58,05-Oct-2017 17:58,91.0
05-Oct-2017 18:13,05-Oct-2017 18:13,81.0
05-Oct-2017 18:34,05-Oct-2017 18:34,52.0
05-Oct-2017 18:38,05-Oct-2017 18:38,72.0
05-Oct-2017 18:44,05-Oct-2017 18:44,77.0
05-Oct-2017 18:52,05-Oct-2017 18:52,89.0
05-Oct-2017 18:53,05-Oct-2017 18:53,88.0
05-Oct-2017 18:56,05-Oct-2017 18:56,73.0
06-Oct-2017 08:57,06-Oct-2017 08:57,90.0
06-Oct-2017 09:12,06-Oct-2017 09:12,112.0
06-Oct-2017 09:15,06-Oct-2017 09:15,95.0
06-Oct-2017 09:35,06-Oct-2017 09:35,113.0
06-Oct-2017 09:43,06-Oct-2017 09:43,116.0
06-Oct-2017 09:49,06-Oct-2017 09:49,115.0
06-Oct-2017 09:51,06-Oct-2017 09:51,105.0
06-Oct-2017 09:57,06-Oct-2017 09:57,103.0
06-Oct-2017 10:07,06-Oct-2017 10:07,99.0
06-Oct-2017 10:09,06-Oct-2017 10:09,97.0
06-Oct-2017 10:23,06-Oct-2017 10:23,104.0
06-Oct-2017 10:43,06-Oct-2017 10:43,81.0
06-Oct-2017 10:45,06-Oct-2017 10:45,90.0
06-Oct-2017 10:59,06-Oct-2017 10:59,97.0
06-Oct-2017 11:01,06-Oct-2017 11:01,102.0
06-Oct-2017 11:03,06-Oct-2017 11:03,81.0
